City,Country,Longitude,Latitude
Linyi,China,118.3506988,35.1032403
Jinan,China,117.1138479,36.6519754
Heze,China,115.4464761,35.2477266
Qingdao,China,120.3777659,36.0663249
Yantai,China,121.4425255,37.461928
Jining,China,116.5849266,35.4125047
Nanjing City,China,118.7788631,32.0438284
Suzhou City,China,120.6212881,31.311123
Wuxi City,China,120.2952752,31.5776626
Zhenjiang,China,119.4200069,32.1891959
Hefei,China,117.281428,31.8665676
Chuzhou,China,118.3139455,32.3027377
Huangshan,China,118.3324811,29.7172627
Xuzhou,China,117.1810431,34.2665258
Shanghai,China,121.4700152,31.2312707
Beijing,China,116.412144,40.190632
Chongqing,China,107.8748712,30.05518
Hangzhou City,China,120.2052342,30.2489634
Taizhou,China,121.4163876,28.6581723
Jinhua,China,119.6486487,29.1080344
Lishui,China,119.9184297,28.4704064
Xinyang,China,114.853333,32.075
Wuhan,China,114.2999353,30.5951051
Enshi,China,109.4833079,30.2745483
Yichang,China,111.2803512,30.6941332
Guangshui,China,113.8407641,31.6838156
Xiangyang,China,112.1163785,32.010998
Shiyan,China,110.560812,32.45269
Zhijiang,China,111.7546868,30.4283835
Luoyang,China,112.4477046,34.6196539
Binzhou,China,117.9647262,37.3821206
Guangzhou City,China,113.2592945,23.1301964
Yangjiang,China,111.7831393,22.0958223
Shenzhen,China,114.0545429,22.5445741
Dongguan,China,113.7457788,23.0205969
Hong Kong,China,114.1628131,22.2793278
Qiongzhong,China,109.851111,19.032778
Lanzhou,China,103.733224,36.474436
Tianshui,China,105.8003895,34.6538841
Longnan,China,105.3513561,33.5363816
Ürümqi,China,87.6139038,43.8244074
Kashgar City,China,75.9900135,39.4665981
Ordos,China,108.8134284,39.4602947
Erenhot City,China,111.943519,43.6407813
Taipei,Taiwan,121.5636796,25.0375198
New Taipei,Taiwan,121.4656619,25.011997
Tainan,Taiwan,120.184982,22.9912348
Kaohsiung,Taiwan,120.3120375,22.6203348
Chiayi County,Taiwan,120.2930004,23.4591664
Nantou County,Taiwan,120.6909167,23.90235
Hsinchu,Taiwan,120.970256,24.8042109
Ulaanbaatar,Mongolia,106.9177016,47.9184676
Zamiin-Uud,Mongolia,111.8348703,43.8145643
Islamabad,Pakistan,73.0651511,33.6938118
Faisalabad,Pakistan,73.0923253,31.4220558
Gilgit,Pakistan,74.314044,35.9208102
Groningen,Netherlands,6.5680077,53.2190652
Amsterdam,Netherlands,4.8924534,52.3730796
Friesland,Netherlands,5.777043,53.0923689
Schiermonnikoog,Netherlands,6.2037718,53.4787891
Zwolle,Netherlands,6.0977204,52.5145653
Rotterdam,Netherlands,4.47775,51.9244424
Leiden,Netherlands,4.4811089,52.1518157
Nijmegen,Netherlands,5.8389606,51.8425749
Utrecht,Netherlands,5.1215634,52.0907006
Eindhoven,Netherlands,5.478633,51.4392648
Maastricht,Netherlands,5.6909768,50.8512438
The Hague,Netherlands,4.2696802,52.0749456
Hoorn,Netherlands,5.0735802,52.653272
Bremen,Germany,8.8071646,53.0758196
Aachen,Germany,6.083862,50.776351
Cologne,Germany,6.959974,50.938361
Ghent,Belgium,3.7250121,51.0538286
Milan,Italy,9.1896346,45.4641943
Venice,Italy,12.3345898,45.4371908
Kristiansand,Norway,7.931858,58.0856276
Glasgow,United Kingdom,-4.2501687,55.861155
Brussels,Belgium,4.351697,50.8465573
City of Edinburgh,United Kingdom,-3.1883749,55.9533456
Luxembourg,Luxembourg,6.1296751,49.8158683
Assen,Netherlands,6.5506458,52.997225
Krakow,Poland,19.9368564,50.0619474
Leeuwarden,Netherlands,5.7918548,53.2005936
Harlingen,Netherlands,5.4141998,53.1752103
Eemshaven,Netherlands,6.8499627,53.4484736
Delfzijl,Netherlands,6.9135144,53.3325644
Nanchang,China,116.0348483,28.6472124
Jingdezhen,China,117.2735595,29.3582395
Jiujiang,China,115.3820227,29.388607
Athens,Greece,23.7348324,37.9755648
Termoli,Italy,14.9939366,41.9983273
Rome,Italy,12.4829321,41.8933203
Leer,Germany,7.459464,53.2050927
